id,uptime_sec,slots,slot_time_sec,task_time_sec,idle_time_sec,idle_pct
8,1671.283,5,8356.415,3374.139,4982.276,59.622170512115545
80,748.857,5,3744.285,948.586,2795.699,74.66576395760472
81,1124.159,5,5620.795,1290.884,4329.911,77.03378258769445
82,1144.203,5,5721.015,1254.733,4466.282,78.06800017129828
83,1126.916,5,5634.58,1294.343,4340.237,77.02858065729833
84,762.563,5,3812.815,789.189,3023.626,79.3016708127722
85,690.202,5,3451.01,868.5,2582.51,74.83345455388422
86,727.937,5,3639.685,884.451,2755.234,75.69979270184095
87,688.875,5,3444.375,513.345,2931.03,85.09613500272182
88,785.692,5,3928.46,696.851,3231.609,82.26147141628017
89,316.02,5,1580.1,51.413,1528.687,96.74621859375989
9,1675.237,5,8376.185,3584.821,4791.364,57.202222730276375
90,306.32,5,1531.6,28.353,1503.247,98.14879864194307
91,328.488,5,1642.44,112.95,1529.49,93.12303645795281
92,328.693,5,1643.465,138.894,1504.571,91.54870958614877
93,318.65,5,1593.25,57.415,1535.835,96.3963596422407
94,307.54,5,1537.7,28.281,1509.419,98.16082460818106
95,306.608,5,1533.04,29.875,1503.165,98.0512576318948
96,306.464,5,1532.32,26.748,1505.572,98.25441161115171
97,306.455,5,1532.275,26.835,1505.44,98.24868251456168
98,609.69,5,3048.45,815.773,2232.677,73.23974478833506
99,303.195,5,1515.975,0.0,1515.975,100.0
driver,8932.889,0,0.0,8934.06,-8934.06,0
